#Moved to Scandinavian group localised naming

#Restored Vanilla names
1 = "Stokholm"
2 = "Linkøbing" #Adjusted for 11.5
5 = "Værmeland"
6 = "Skaane"
9 = "Hælsingleland"
10 = "Jæmtland"
11 = "Vesterboten"
16 = "Bahuslehn"
17 = "Aggershuus"
7801 = "Østerbotn"  #Moved from 19 to 7801
21 = "Nordlandene"
#22 = "Oplandene"
27 = "Aabo"
7772 = "Christiansand" #Moved from 24 to 7772
35 = "Øsel"
#37 = "Lifland" #No longer accurate
44 = "Hamborg"
45 = "Lybek"
94 = "Lützelburg"
225 = "Gnesen"
233 = "Kaarnwæll"
236 = "Middlsex"
#244 = "Lænkæster" #Replaced with Daneman's Arkholm.
254 = "Posen"
256 = "Plozk"
257 = "Warschava"
262 = "Krakov"
294 = "Tveer"
295 = "Moscau"
296 = "Koluga"
306 = "Nischgorod"
308 = "Jaroslavl"
315 = "Finmarken"
331 = "Ærzerûm"
369 = "Ørkenøerne"
378 = "Trábulos"
382 = "Damâsk"
384 = "Medîne"
385 = "Mékke"
390 = "Saná"
400 = "Maskát"
405 = "Palmyra"
408 = "Básra"
409 = "Helle"
410 = "Bagdád"
418 = "Diarbekr"
#561 = "Frederiksnagor" #Has since Dharma been moved into province 4477
574 = "Frederiksøerne"

1139 = "Christiansborg"
1141 = "Prindsensteen"
1177 = "Got Haabs Forbierg"
1201 = "Zansjibar"
1205 = "Mokadischu"
1775 = "Holsteen"
1855 = "Seide"
1859 = "Culm"
1939 = "Lentschiza"
1979 = "Færøerne"
1982 = "Bleking"
1930 = "Aaland"

2026 = "Trankebar"
2258 = "Cap Coast"
2313 = "Antâki"
2329 = "Jâmbo"
2331 = "Dsjidda"
2348 = "Scio"
2963 = "Netzeland"

4123 = "Birkeland"
4124 = "Karelen"
4141 = "Ditmersken"
4143 = "Borgarsysla"
4165 = "Gønge"

44 = "Hamborg"
45 = "Lybek"

369 = "Orkneyjar"
1978 = "Hjaltland"
1979 = "Færøyene"


#derserk's work

#2017 Jun 7

#Denmark
25 = "Gulland" #Gotland
1983 = "Laaland" #Lolland
14 = "Fyen" #Fyn 

#BT New Greenland
1104 = "Julianehaab"
1105 = "Egedesminde"
3111 = "Christianshaab"
3112 = "Godthaab"
3113 = "Frederikshaab"
5590 = "Scoresbysund"

#Arga's work

#2017 Jun 25

#baltics
36 = "Lyndanisse"



#Dub's additions
#2019 Apr 28
7781 = "Solør"
7780 = "Tønsberg"

#More Gold Coast
2258 = "Frederiksborg"

#Colonial India
4416 = "Trankebar"
4477 = "Fredriksnagor"

#2019 May 11
#Denmark proper, adding the ø's
12 = "København"
7767 = "Roskilde"
7768 = "Kalundborg"
1984 = "Aalborg"
7771 = "Ringkøbing"
7770 = "Viborg"
7769 = "Randers"
4142 = "Aarhus"
4149 = "Koldinghus"
15 = "Ribe"
3134 = "Aabenraa"
7774 = "Tønder"
3135 = "Nordfrisland"
7773 = "Flensborg"
13 = "Slesvig"

#Holstein
7775 = "Rendsborg"

#Contributions by Daneman
#2019 May 9
