#BT Italy reoverhaul

owner = AQU
controller = AQU
add_core = AQU
culture = friulian_culture	#Appears borderline, but I think this is probably accurate enough
religion = catholic
capital = "Udine"
base_tax = 8
base_production = 8
base_manpower = 5
trade_goods = grain
is_city = yes
hre = yes

extra_cost = 8
center_of_trade = 1

discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern


#Province history completed by - 

#1400.1.1 = { } # Venice vassalises Friuli around this time.
1433.1.1 = {
	hre = no
	owner = VEN
	controller = VEN
	add_core = VEN
} # Treaty between Doge Francesco Foscari and Emperor Sigismund of the HRE
