
#Eire
#Moved to culture specific files for better detail

#Alba
#Moved to culture specific files for better detail

#Breizh
4384 = "Ruamhson"
170 = "Léon"
171 = "Guinead"
172 = "Namhnod"
169 = "Cill Bhreoig"
3068 = "An Chorn Bheag"

#Cymru
241 = "Morganúg"
242 = "Guineadh"
4366 = "Pobhuas"
3034 = "Breachaeniog"
4369 = "Duibhead"
3036 = "Cereaduigion"

#Kernow
233 = "An Chorn"			#Scottish 'A' Chorn'
4373 = "Deabhon"

#Gaelic England - Mostly made up by Draiocht, with a few actually real names
234 = "Iarsasana"			#Wessex
235 = "Ciumhais"			#Kent, modern Irish cognate from original Celtic root that gave proto-Brythonic Cantus then English Kent
236 = "Londain"			#London
237 = "Áth na nDamh"			#Oxford
238 = "Oirsasana"			#Essex
239 = "Briostó"			#Gloucester
240 = "Dún na nDallóg"			#Marches, literal translation of Shrewsbury... awesome =D
243 = "Dubh Linn"			#Lincoln, possible/likely etymology of Lincoln is the same as Dublin, and Dublin uses MI's BAC
244 = "Dún na Luine"			#Lancaster, literal translation (Lune Fort)
4367 = "Eabhrag"			#York - some sources say Iorc in modern Scottish, but going with older version. changing 'c' to 'g for reasons
246 = "Cill Aodháin"			#Northumberland, Aodhán was a major Irish saint at Lindisfarne. Note 'An Caisteal Nuadh' would also work, for Newcastle
247 = "Cathair Luail"			#Cumbria, odd name... but I've seen it in multiple sources... appears to be the real name in both Scottish and Irish? Or a really good prank... odd name...
1860 = "Tuadhoiraingil"			#Norfolk, made up gaelicised 'North East Anglia', also 'northern east of an Angel'... but oh well
1861 = "Baile Dara"			#Derby, 3 different plausible etymologies for Derby, so I'm going with with the Celtic one, which sounds plausible and familiarish when translated
4368 = "Droim Mór"			#Durham, actually a name in County Down, but sounds alot like Durham, so going with it
245 = "Líods"			#Leeds, bad transliteration, but I'm starting to feel uninspired
4375 = "Learpholl"			#Chester, (actually based on Liverpool, obviously). Alternate 'Dún an Léigiúin' based on Welsh Caerleon. Note Scottish is 'Poll a' Ghruthain'
4372 = "Bhuaraig"			#Warwick, semi-standard gaelicisation mixed with phonetic Irish rendering
4376 = "Dún na Lire"			#Leicester, translation/adaptation (English etymology Leir Fort, i.e. fort of the river Lei(r). Also note Welsh Caerlyr is the same)
4370 = "Áth na nGraed"			#Cambridge, possible gaelicisation/translation of the original name (Grantebrycge)
3028 = "Deasoiraingil"			#Suffolk, made up gaelicised 'South East Anglia' also 'southern east of an Angel'... but oh well
4371 = "Deasasana"			#Sussex
4374 = "Dorsaed"			#Dorset
4130 = "Sumorsad"			#Somerset, based on latin, because this one completely stumped me. I welcome better ideas because this is crap

#European Gaelic names
23 = "Boirbhe"			#Bergen
1979 = "Na Scigirí"			#Old name for the Faroes

#Newfoundland
980 = "Radharc Maith" # Fogo									#Gaelic version
981 = "Baile Steafáin" # Taqamkuk							#Gaelic version
2573 = "Port na mBascach" # Qalipu						#Gaelic version
4974 = "Cladach Mór" # Grand Bank						#Gaelic version
5013 = "Cill Sheáin" # Beothuk									#Gaelic version (going with more natural-placename-sounding Cill, instead of Baile, despite wiki giving Baile Sheain as the Irish version of Saint Johns)
5019 = "Cill Pheadair is Mícheál Mór" # Saint Pierre et Miquelon			#Gaelic version
5058 = "Cuan an Bháite"	# Avalon II						#Gaelic version
5059 = "Port Grianmhar"	# Avalon III					#Gaelic version

#British localised naming for Gaelic, for now. Eventually I wouldn't mind revisiting this.

#BT200 Overhaul Vanilla renaming
865 = "Cochimi" # Cochimi										#Generic name
866 = "La Paz" # Guaycura										#Iberian name used by Anglophone
867 = "Cahuilla" # Íviluqaletem									#Iberian name used by Anglophone
868 = "Santa Barbara" # Chumash								#Iberian name used by Anglophone
869 = "Monterey" # Salinan										#Iberian name used by Anglophone modified
