
10100;156;126;233;Ahanta;x
10101;207;126;189;Akyem;x
10102;95;41;233;Adansi;x
10103;95;198;233;Wassa;x
10104;95;233;150;Nzema;x
10105;233;222;95;Akuapem;x
10106;90;111;42;Assinie;x
10107;117;227;36;Komenda;x
10108;94;36;227;Fante;x
10109;228;186;227;Apam;x
10110;216;180;79;Sefwi;x
10111;216;240;79;Keta;x

10125;211;240;125;Anum;x
10126;118;99;141;Kwahu;x
10127;216;236;232;Dukoman;x
10128;119;77;41;Mampong;x
10129;215;41;233;Ahafo;x
10130;215;122;162;Offinsu;x
10131;203;81;28;Aowin;x
10132;79;180;136;Gyaman;x
10133;183;141;7;Takyiman;x
10134;43;108;218;Banda;x
10135;254;228;75;Abeasi;x
10136;139;139;184;Nkoranza;x
10137;57;252;133;Atebubu;x
10138;254;139;75;Bassa;x
10139;91;221;238;Krachi;x
10140;79;48;23;Bekekum;x
10141;187;179;241;Chumburung;x
10142;148;143;153;Twifo;x
10143;2;133;125;Buem;x
10144;216;133;79;Nanumba;x
10145;214;91;76;Konkomba;x
10146;156;65;135;Frafra;x
10147;94;128;193;Karaga;x
10148;156;224;135;Mamprusi;x
10149;20;130;153;Damongo;x
10150;143;181;213;Daboya;x
10151;155;143;213;Wa;x
10152;155;40;48;Sissala;x
10153;156;40;135;Dagaaba;x

